Unidad,Cuad,Nivel,Rasgo,Excavador,Fecha,Context,N frag.,Tamaño frag.,Length,Width,Thickness,Material,Technological Type,Debris,Platform Type,Termination,% Cortex,Portion,Modification,Weight,Notes,Foto
8,13,237-240,Ceramic Event,RT/JQ,2/8/2023,,1,1,,,,16,,2,0,0,0,0,,0.09,MOQ-1629,
8,23,190-200,House 7,GDD,24/08/23,,1,1,,,,16,,2,0,0,0,0,,0.12,MOQ-2378,
8,23,190-200,House 7,GDD,24/08/23,,1,1,,,,16,,1,2,2,0,1,,0.52,MOQ-2379,
8,23,118-134,,RP,4/8/2023,,1,1,,,,16,,1,0,1,0,3,,0.03,MOQ-1587,
8,13,270-272,,SCS,3/8/2023,,1,2,,,,16,,1,2,2,0,1,,1.42,MOQ-1642,
8,24,135-143,,JQ,4/8/2023,,1,1,,,,16,,3,0,0,0,0,1,0.15,MOQ-1590,
8,23,118-134,,RP,4/8/2023,,1,1,,,,16,,1,1,1,0,1,,0.09,MOQ-1602,
8,23,118-134,,RP,4/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.02,not-pxrfd,
8,23,118-134,,RP,4/8/2023,,1,1,,,,16,,1,1,2,0,1,,0.6,MOQ-1621,
8,23,118-134,,RP,4/8/2023,,1,2,,,,16,,2,0,0,0,0,,1.0,MOQ-1820,
8,23,118-134,,RP,4/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.42,MOQ-1577,
8,23,118-134,,RP,4/8/2023,,1,2,,,,16,,1,0,0,0,4,,0.73,MOQ-1578,
8,24,135-143,,JQ,4/8/2023,,1,1,,,,16,,2,0,0,0,0,,0.48,MOQ-1576,
8,10,362-378,,RP,7/8/2023,,1,1,,,,16,,1,2,1,0,1,,0.15,MOQ-1636,
8,12,244-248,,SCS,31/07/23,,1,1,,,,16,,1,2,0,0,2,,0.66,MOQ-1668,
8,5,448-459,House 6,SCS,4/8/2023,,1,1,,,,16,,2,0,0,0,0,,0.43,MOQ-1583,
8,5,448-459,House 6,SCS,4/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.39,MOQ-1584,
8,18,181-192,,HQB,3/8/2023,,1,2,,,,16,,3,0,0,0,0,,1.11,MOQ-1666,x
8,25,162-177,,JQ,9/8/2023,,1,2,,,,16,,3,0,0,0,0,,1.4,MOQ-1258,
8,25,162-177,,JQ,9/8/2023,,1,1,,,,16,,1,0,0,0,4,,0.3,MOQ-1259,
8,25,162-177,,JQ,9/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.6,MOQ-1260,
8,25,162-177,,JQ,9/8/2023,,1,2,,,,16,4,,,1,0,,2,0.9,MOQ-1261,
8,13,237-240,Ceramic Event,RT/JQ,2/8/2023,,1,1,,,,16,,1,1,3,0,1,,0.46,MOQ-1914,
8,5,448-459,House 6,SCS,4/8/2023,,1,2,18.98,13.96,5.57,16,,1,2,1,0,1,2,1.23,MOQ-1575,x
8,24,135-143,,JQ,4/8/2023,,1,1,,,,16,,1,2,1,1,1,,0.24,MOQ-1571,x
8,19,194-206,,SCS,4/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.11,MOQ-1619,
8,19,194-206,,SCS,4/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.07,MOQ-1620,
8,25,149-162,,AF/FM/GD,4/8/2023,,1,1,,,,16,,1,0,1,0,3,,0.14,MOQ-1601,
8,25,132-149,,GD/EN,2/8/2023,,1,2,,,,16,,2,0,0,2,0,,1.92,MOQ-1661,x
8,16,?-172,,ENHR,21/08/23,,1,2,,,,16,,3,0,0,1,0,,4.43,MOQ-2348,x
8,24,125-135,,FM,2/8/2023,,1,1,,,,16,,1,0,2,0,3,,0.11,MOQ-1591,
8,24,125-135,,FM,2/8/2023,,1,1,,,,16,,1,1,2,0,1,,0.08,MOQ-1592,
8,24,125-135,,FM,2/8/2023,,1,1>,,,,16,,3,0,0,0,0,,0.02,not-pxrfd,
8,13,270-272,,SCS,3/8/2023,,1,1,,,,16,,1,0,2,0,3,,0.1,MOQ-1915,
8,13,270-272,,SCS,3/8/2023,,1,1,,,,16,,2,0,3,0,3,,0.2,MOQ-1916,
8,23,118-134,,RP,4/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.68,MOQ-1815,
8,23,118-134,,RP,4/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.3,MOQ-1816,x
8,5,448-459,House 6,SCS,4/8/2023,,1,2,21.17,10.45,5.05,16,4,,,1,0,,,1.0,MOQ-1813,x
8,17,125,House 7,CCO,17/08/23,,1,1,,,,16,,3,0,0,0,0,,0.2,MOQ-1331,
8,12,244-248,,SCS,31/07/23,,1,1,,,,16,,3,0,0,0,0,,0.88,MOQ-2126,
8,12,244-248,,SCS,31/07/23,,1,1,,,,16,,2,0,0,0,4,,0.32,MOQ-1567,
8,18,181-192,,MB/FM,2/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.38,MOQ-1550,
8,12,244-248,,SCS,31/07/23,,1,1,,,,16,,3,0,0,0,0,,0.32,MOQ-1553,
8,20,234-236,,RP,4/8/2023,,1,2,,,,16,,3,0,0,0,0,,0.9,MOQ-1289,
8,24,135-143,,JQ,4/8/2023,,1,1,,,,16,,1,1,0,0,2,,0.02,MOQ-1572,
8,24,135-143,,JQ,4/8/2023,,1,2,,,,16,,3,0,0,0,0,1,0.74,MOQ-1573,
8,12,244-248,,SCS,31/07/23,,1,1,,,,16,,1,1,0,0,2,,0.04,MOQ-1922,
8,12,244-248,,SCS,31/07/23,,1,1,,,,16,,2,0,0,0,0,,0.09,MOQ-1923,
8,12,244-248,,SCS,31/07/23,,1,1,,,,16,,2,0,0,0,0,,0.09,MOQ-1924,
8,12,244-248,,SCS,31/07/23,,1,1,,,,16,,3,0,0,0,0,,0.09,MOQ-1925,
8,12,244-248,,SCS,31/07/23,,2,1,,,,16,,2,0,0,0,0,,0.01,not-pxrfd,
8,19,227-231,Public Building,YKRA,25/08/23,,1,1,,,,16,,1,0,2,0,3,,0.08,MOQ-2351,
8,19,227-231,Public Building,YKRA,25/08/23,,1,1,,,,16,,1,0,1,0,3,1,0.24,MOQ-2352,
8,19,227-231,Public Building,YKRA,25/08/23,,1,1,,,,16,,1,0,2,0,3,,0.1,MOQ-2353,
8,19,227-231,Public Building,YKRA,25/08/23,,1,1,,,,16,,3,0,0,0,0,,0.82,MOQ-2354,
8,19,227-231,Public Building,YKRA,25/08/23,,1,1,,,,16,,3,0,0,0,0,,0.7,MOQ-2355,
8,19,227-231,Public Building,YKRA,25/08/23,,1,1,,,,16,,3,0,0,0,0,,0.15,MOQ-2356,
8,19,227-231,Public Building,YKRA,25/08/23,,1,1,,,,16,,3,0,0,0,0,,0.36,MOQ-2357,
8,19,227-231,Public Building,YKRA,25/08/23,,1,1,,,,16,,3,0,0,0,0,,0.71,MOQ-2358,
8,24,135-143,,JQ,4/8/2023,,1,1,,,,16,,1,0,2,0,3,,0.12,MOQ-1795,
8,24,135-143,,JQ,4/8/2023,,1,1,,,,16,,1,1,0,0,2,1,0.16,MOQ-1796,
8,24,135-143,,JQ,4/8/2023,,1,1,,,,16,,1,0,3,0,3,1,0.26,MOQ-1797,
8,24,135-143,,JQ,4/8/2023,,1,1,,,,16,,1,1,3,0,1,0,0.11,MOQ-1798,
8,24,135-143,,JQ,4/8/2023,,1,1,,,,16,,1,1,0,0,2,,0.58,MOQ-1799,
8,24,135-143,,JQ,4/8/2023,,1,1,,,,16,,1,1,0,0,2,,0.28,MOQ-1800,
8,24,135-143,,JQ,4/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.3,MOQ-1801,
8,13,270-290,,SCS,28/07/23,,1,1,,,,16,,3,0,0,0,0,,0.04,MOQ-2152,
8,13,270-290,,SCS,28/07/23,,1,1,,,,16,,1,1,0,0,2,,0.16,MOQ-2153,
8,13,270-290,,SCS,28/07/23,,1,1,,,,16,,1,0,1,0,3,,0.1,MOQ-2154,
8,13,270-290,,SCS,28/07/23,,1,1,,,,16,,1,1,0,0,2,,0.04,MOQ-2155,
8,13,270-290,,SCS,28/07/23,,1,1,,,,16,,3,0,0,0,0,,0.09,MOQ-2156,
8,13,270-290,,SCS,28/07/23,,1,1,,,,16,,3,0,0,0,0,,0.21,MOQ-2157,
8,13,270-290,,SCS,28/07/23,,1,1,,,,16,,1,0,3,0,3,,0.24,MOQ-2158,
8,13,270-290,,SCS,28/07/23,,1,1,,,,16,,1,2,2,0,1,,0.17,MOQ-2159,
8,13,270-290,,SCS,28/07/23,,1,1,,,,16,,1,1,1,0,1,,0.41,MOQ-2160,
8,13,270-290,,SCS,28/07/23,,1,1,,,,16,,3,0,0,0,0,,0.18,MOQ-2161,
8,13,270-290,,SCS,28/07/23,,1,2,,,,16,,1,0,0,0,4,1,0.34,MOQ-2162,
8,13,270-290,,SCS,28/07/23,,1,2,,,,16,,1,2,1,0,1,,0.47,MOQ-2163,
8,13,270-290,,SCS,28/07/23,,1,2,,,,16,,1,2,0,0,2,,0.85,MOQ-2164,
8,25,162-177,House 6,JQ,9/8/2023,,1,1,,,,16,,1,1,0,0,2,,0.2,MOQ-1255,
8,25,162-177,House 6,JQ,9/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.4,MOQ-1256,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,3,0,0,6,0,,0.5,MOQ-1315,x
8,20,227-,House 6,AF/MB,11/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.51,MOQ-1249,
8,20,227-,House 6,AF/MB,11/8/2023,,1,1,,,,16,,1,0,2,0,3,,0.07,MOQ-1250,
8,25,132-149,,GDD/EN,2/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.68,MOQ-1566,
8,15,310-312,House 6,JQ,8/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.03,MOQ-1271,
8,20,227-236,,JQ,8/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.4,MOQ-1273,
8,20,234-236,,SCS,7/8/2023,,1,1,,,,16,,1,1,1,0,1,,0.15,MOQ-1163,
8,24,160-173,House 6,SCS,11/8/2023,,1,1,,,,16,,1,0,0,0,4,,0.6,MOQ-1286,
8,10,362-378,,RP,1/8/2023,,1,2,,,,16,,1,1,3,0,1,,0.7,MOQ-1600,
8,5,448-459,House 6,SCS,4/8/2023,,1,2,,,,16,4,,,1,0,,2,1.5,MOQ-1574,x
8,23,128,,CCO,16/08/23,,1,2,,,,16,,1,1,0,0,2,,0.82,MOQ-1288,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,1,0,3,0,3,,0.07,MOQ-1339,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,1,1,3,0,1,,0.18,MOQ-1340,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,1,1,0,0,2,,0.43,MOQ-1341,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,2,0,0,0,0,,0.08,MOQ-1342,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,3,0,0,0,0,,0.13,MOQ-1343,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,3,0,0,0,0,,0.36,MOQ-1344,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,3,0,0,0,0,,0.3,MOQ-1345,
8,17,127-144,House 7,CCO,17/08/23,,1,2,,,,16,,1,0,1,0,3,,0.89,MOQ-1346,x
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,1,1,1,0,1,,0.4,MOQ-1347,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,1,1,2,0,1,,0.15,MOQ-1348,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,1,0,2,0,3,,0.09,MOQ-1349,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,1,0,2,0,3,,0.14,MOQ-1350,
8,17,127-144,House 7,CCO,17/08/23,,1,2,,,,16,,3,0,0,0,0,,1.17,MOQ-1351,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,1,0,0,0,4,,0.16,MOQ-1352,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,1,2,2,0,1,,0.28,MOQ-1353,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,1,1,0,0,2,,0.23,MOQ-1354,
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,1,0,1,0,3,,0.03,MOQ-1355,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,0,2,0,3,,0.09,MOQ-1291,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,0,0,0,4,,0.06,MOQ-1292,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,3,0,0,2,,0.27,MOQ-1293,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,1,0,0,2,,0.09,MOQ-1294,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,3,0,0,0,0,,0.15,MOQ-1295,
