Unidad,Cuad,Nivel,Rasgo,Excavador,Fecha,Context,N frag.,Tamaño frag.,Length,Width,Thickness,Material,Technological Type,Debris,Platform Type,Termination,% Cortex,Portion,Modification,Weight,Notes,Foto
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,1,,,,16,,3,0,0,0,0,,0.02,MOQ-1940,
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,1,,,,16,,3,0,0,0,0,,0.05,MOQ-1941,
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,1,,,,16,,1,0,1,0,3,,0.04,MOQ-1942,
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,1,,,,16,,3,0,0,0,0,,0.09,MOQ-1943,
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,1,,,,16,,1,0,1,0,3,,0.08,MOQ-1944,
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,1,,,,16,,3,0,0,0,0,,0.54,MOQ-1945,
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,2,,,,16,,2,0,0,0,0,,0.67,MOQ-1946,
7,24SW,253-261,House 4 Below Floor,MB/LL/RV,24/07/23,,1,1,,,,16,,1,2,2,0,1,1,0.64,MOQ-1951,
7,30NE,268-275,House 5 Outside,MB/LL,28/07/23,,1,1,,,,16,,1,0,0,0,4,,0.06,MOQ-1903,
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,1,,,,16,,3,0,0,0,0,,0.75,MOQ-1930,
7,29,159-163,House 1 Inside,AFA,29/06/23,,1,1,,,,16,,3,0,0,0,0,,0.47,MOQ-1784,
7,29,159-163,House 1 Inside,AFA,29/06/23,,1,1,,,,16,,2,0,0,0,0,,0.28,MOQ-1785,
7,34N,82-92,House 1 Outside,MB/RP/LL,27/07/23,,1,1,,,,16,,3,0,0,0,0,,0.03,MOQ-1919,x
7,34N,82-92,House 1 Outside,MB/RP/LL,27/07/23,,1,1,,,,16,,3,0,0,0,0,,0.24,MOQ-1920,x
7,36N,103-105,House 1 Outside,RVQ,27/06/23,,1,1,,,,16,,1,0,3,0,3,,0.05,MOQ-1959,
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,1,,,,16,,2,0,0,0,0,2,0.46,MOQ-1948,
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,1,,,,16,,1,0,1,0,3,,0.24,MOQ-2061,
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,1,,,,16,,1,0,2,0,3,,0.06,MOQ-2062,
7,24,233-238,House 1 Above,AFA,29/06/23,,1,1,,,,16,,1,1,0,0,2,1,0.18,MOQ-1936,
7,24,233-238,House 1 Above,AFA,29/06/23,,1,1,,,,16,,1,0,2,0,3,1,0.15,MOQ-1937,
7,24,233-238,House 1 Above,AFA,29/06/23,,1,1,,,,16,,1,0,2,0,3,,0.11,MOQ-1938,
7,35N,87-106,House 1 Outside,AF/RV/SC,28/06/23,,1,2,,,,16,,1,1,1,0,1,1,0.8,MOQ-1976,x
7,35N,87-106,House 1 Outside,AF/RV/SC,28/06/23,,1,2,,,,16,,1,0,0,0,4,,0.5,MOQ-1977,
7,17S,283-292,,GD/EN,1/8/2023,,1,2,,,,16,,1,1,1,0,1,1,0.7,MOQ-1787,
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,1,,,,16,,2,0,0,0,0,,0.09,MOQ-1926,
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,1,,,,16,,1,1,1,0,1,,0.26,MOQ-1927,x
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,2,,,,16,,1,1,2,0,1,,0.68,MOQ-1928,
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,2,,,,16,,1,1,2,0,1,,1.0,MOQ-1947,
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,1,,,,16,,1,0,2,0,3,,0.02,MOQ-1864,
7,29,159-163,House 1 Inside,AFA,29/06/23,,1,1,,,,16,,1,0,0,0,4,2,0.43,MOQ-1939,
7,22,217-220,House 1 Floor,GDD,29/06/23,,1,1,,,,16,,1,1,2,0,1,,0.23,MOQ-1776,
7,22,217-220,House 1 Floor,GDD,29/06/23,,1,1,,,,16,,3,0,0,0,0,,0.01,not-pxrfd,
7,26,136-143,,ENHR,3/7/2023,,1,1,,,,16,,2,1,0,0,2,,0.57,MOQ-1901,
7,27,145-146,House 1 Inside,MB/RP/LL,28/06/23,,1,2,,,,16,,1,0,0,0,4,,0.39,MOQ-1890,
7,18,303-314,,GDD,30/06/23,,1,1,,,,16,,1,1,2,0,1,,0.22,MOQ-1852,
7,26,115-125,House 3 Above,GDD,22/06/23,,1,2,20.51,14.47,5.73,16,4,,,1,0,,,1.63,MOQ-2000,x
7,29,159-163,House 1 Inside,AFA,29/06/23,,1,1,,,,16,,1,1,2,0,1,,0.11,MOQ-1742,
7,29,159-163,House 1 Inside,AFA,29/06/23,,1,1,,,,16,,2,0,0,0,0,,0.08,MOQ-1743,
7,29,159-163,House 1 Inside,AFA,29/06/23,,1,1,,,,16,,1,0,3,0,3,,0.12,MOQ-1744,
7,29,159-163,House 1 Inside,AFA,29/06/23,,1,1,,,,16,,3,0,0,0,0,,0.08,MOQ-1745,
7,36S,103-80?,House 1 Inside,RVQ,28/06/23,,1,1,,,,16,,2,0,1,0,3,,0.09,MOQ-1814,
7,26,115-125,House 3 Above,GDD,22/06/23,,1,2,,,,16,,2,0,1,0,0,2,0.77,MOQ-1991,x
7,29,183-,House 1,RVQ,13/06/23,,1,1,,,,16,,1,0,3,0,3,,0.14,MOQ-1935,
7,29,183-,House 1,RVQ,13/06/23,,1,1,,,,16,,1,1,2,0,1,,0.12,MOQ-1934,
7,29,183-,House 1,RVQ,13/06/23,,1,2,,,,16,,1,1,2,0,1,,0.52,MOQ-1933,
7,20,189-202,,GDD,29/06/23,,1,2,,,,16,,3,0,0,0,0,,0.84,MOQ-1833,
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,1,,,,16,,1,1,3,0,1,1,0.73,MOQ-1826,
7,34S,56-71,House 1 Outside,MB/RP/LL,27/06/23,,1,1,,,,16,,3,0,0,0,0,,0.3,MOQ-1979,
7,17S,283-292,,GDD/EN,1/8/2023,,1,2,,,,16,,2,1,0,0,0,,2.45,MOQ-1754,
7,17S,283-292,,GDD/EN,1/8/2023,,1,1,,,,16,,2,0,0,0,0,,0.31,MOQ-1755,
7,17S,283-292,,GDD/EN,1/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.05,MOQ-1756,
7,17S,283-292,,GDD/EN,1/8/2023,,1,1,,,,16,,2,0,0,0,0,,0.06,MOQ-1757,
7,17S,283-292,,GDD/EN,1/8/2023,,1,2,20.04,15.6,5.55,16,4,,1,2,0,,,1.29,MOQ-1758,x
7,17S,283-292,,GDD/EN,1/8/2023,,1,1,,,,16,,2,1,0,0,2,,0.41,MOQ-1759,
7,31,49-72,,ENHR,28/06/23,,1,1,,,,16,,2,1,0,0,0,,0.29,MOQ-1778,
7,31,49-72,,ENHR,28/06/23,,1,1,,,,16,,3,0,0,0,0,,0.04,MOQ-1779,
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,2,,,,16,,1,0,0,0,4,,0.57,MOQ-1858,
7,23,219-223,,R/R,26/06/23,,1,1,,,,16,,1,0,2,0,3,,0.02,MOQ-1847,
7,17S,283-292,,GDD/EN,31/07/23,,1,1,,,,16,,1,0,3,0,3,,0.2,MOQ-1868,
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,1,,,,16,,1,0,0,0,4,,0.43,MOQ-1753,
7,31,49-72,,GDD,28/06/23,,1,1,,,,16,,3,0,0,0,0,,0.58,MOQ-1722,
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,1,,,,16,,1,1,0,0,2,,0.32,MOQ-1773,
7,36,103-105,House 1 Outside,RVQ,27/06/23,,1,1,,,,16,,3,0,0,0,0,,0.43,MOQ-1774,
7,19,176-186,House 3,GDD,29/06/23,,1,1,,,,16,,3,0,0,0,0,1,0.24,MOQ-1727,
7,25,116-123,,GDD,29/06/23,,1,2,,,,16,,1,0,2,0,3,2,0.34,MOQ-1763,x
7,17S,283-292,,GD/EN,31/07/23,,1,2,,,,16,,2,1,0,0,2,,0.94,MOQ-1748,
7,25,116-123,House 3 Above,GDD,29/06/23,,1,1,,,,16,,1,4,1,0,1,,0.09,MOQ-1819,
7,34S,56-71,House 1 Outside,MB/LL,27/06/23,,1,1,,,,16,,2,0,3,0,3,,0.69,MOQ-1777,
7,35N,87-106,,AF/RV/SC,28/06/23,,1,1,,,,16,,1,0,3,0,3,,0.26,MOQ-1723,
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,1,,,,16,,1,1,2,0,1,,0.2,MOQ-1719,
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,1,,,,16,,1,0,2,0,3,,0.3,MOQ-1720,
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,2,,,,16,,1,1,3,0,1,1,1.0,MOQ-1721,
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,1,,,,16,,2,0,0,0,0,,0.23,MOQ-1746,
7,35S,81-94,,AF/RV/SC,28/06/23,,1,1,,,,16,,2,0,0,0,0,,0.77,MOQ-1855,
7,17S,283-292,,GD/EN,31/07/23,,1,1,,,,16,,3,0,0,0,0,,0.07,MOQ-1740,
7,18,303-314,,GDD,30/06/23,,1,1,,,,16,,3,0,0,0,0,,1.08,MOQ-1732,x
7,17S,292-301,,GD/MB/EN,1/8/2023,,1,2,,,,16,,1,1,2,0,1,,0.59,MOQ-1752,
7,17S,292-301,,GD/MB/EN,1/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.02,not-pxrfd,
7,30,171-176,,RVQ,3/7/2023,,1,1,,,,16,,1,1,2,0,1,1,0.13,MOQ-1694,
7,30,171-176,,RVQ,3/7/2023,,1,2,,,,16,,1,2,0,0,2,,0.7,MOQ-1692,
7,30,171-176,,RVQ,3/7/2023,,1,1,,,,16,,2,0,0,0,0,,0.28,MOQ-1693,
7,19,186-192,House 3,ENHR,4/7/2023,,1,1,,,,16,,2,1,0,0,2,,0.47,MOQ-1718,
7,25,123-125,,LL,4/6/2023,,1,1,,,,16,,1,1,2,0,1,,0.3,MOQ-1717,
7,21E,207-232,House 1 Inside,SCC/GDD,5/7/2023,,1,1,,,,16,,3,0,0,0,0,,0.06,MOQ-1716,
7,25,123-125,,LL,4/6/2023,,1,1,,,,16,,2,0,0,0,0,,0.81,MOQ-1703,
7,25,123-125,,LL,4/6/2023,,1,1,,,,16,,1,0,0,0,4,,0.6,MOQ-1704,
7,24,238-247,House 1,RP,5/7/2023,,1,1,,,,16,,2,0,3,0,3,,0.28,MOQ-1712,
7,26,136-143,,ENHR,3/7/2023,,1,1,,,,16,,1,0,1,0,3,,0.77,MOQ-1709,
7,24,238-247,House 1,RP,5/7/2023,,1,1,15.58,10.84,5.33,16,4,,,1,0,,2,0.83,MOQ-1713,x
7,22,222-242,House 1 Inside,SC/GD,5/7/2023,,1,1,,,,16,,2,0,0,0,0,,0.15,MOQ-1706,
7,27,146-163,,SC/GD,4/7/2023,,1,1,,,,16,,1,1,2,0,1,,0.01,not-pxrfd,
7,27,146-163,,SC/GD,4/7/2023,,1,2,,,,16,4,,,1,0,,2,1.29,MOQ-1714,x
7,27,146-163,Wall Outside,SC/GD,4/7/2023,,1,1,,,,16,,2,0,0,0,0,,0.02,MOQ-1715,
7,20,202-211,,ENHR,4/7/2023,,1,1,,,,16,,1,1,1,0,1,1,0.27,MOQ-1705,x
7,30,171-176,,RVQ,4/7/2023,,1,1,,,,16,,2,1,0,0,2,,0.79,MOQ-1669,
7,21E,207-232,House 2 Inside,SCC/GDD,5/7/2023,,1,1,,,,16,,1,1,3,0,1,,0.6,MOQ-1688,
7,21E,207-232,House 2 Inside,SCC/GDD,5/7/2023,,1,1,,,,16,,2,0,0,0,0,,0.91,MOQ-1710,
7,21W,207-232,House 2 Outside,SCC/GDD,5/7/2023,,1,1,,,,16,,1,0,3,0,3,,0.05,MOQ-1696,
7,21W,207-232,House 2 Outside,SCC/GDD,5/7/2023,,1,1,,,,16,,1,0,2,0,3,,0.07,MOQ-1697,
7,22,222-242,House 2 Inside,SCC/GDD,5/7/2023,,1,1,,,,16,,1,2,2,0,1,,0.2,MOQ-1711,
7,30,171-176,,RVQ,4/7/2023,,1,1,,,,16,,3,0,0,0,0,,0.86,MOQ-1677,
7,19,186-192,House 3,ENHR,4/7/2023,,1,1,,,,16,,2,0,0,0,0,,0.27,MOQ-1695,
7,21E,207-232,House 2 Inside,SCC/GDD,5/7/2023,,1,2,,,,16,,1,0,0,0,4,,0.63,MOQ-1684,
7,21E,207-232,House 2 Inside,SCC/GDD,5/7/2023,,1,2,,,,16,,1,3,1,0,1,,1.25,MOQ-1670,
7,21W,207-232,House 2 Inside,SCC/GDD,5/7/2023,,1,2,,,,16,,3,0,0,0,0,,1.13,MOQ-1689,
7,29,163-173,House 2,RVQ,4/7/2023,,1,1,,,,16,,1,2,2,0,1,,0.55,MOQ-1707,
7,29,163-173,House 2,RVQ,4/7/2023,,1,1,16.21,9.57,3.81,16,2,,,1,0,,2,0.44,MOQ-1708,x
7,24,238-247,House 1 Above,GHM,4/7/2023,,1,1,,,,16,,3,0,0,0,0,,0.59,MOQ-1671,
7,22,222-242,House 2 Inside,SCC/GDD,5/7/2023,,1,2,,,,16,,3,0,0,0,0,,0.85,MOQ-1690,
7,22,222-242,House 2 Inside,SCC/GDD,5/7/2023,,1,2,,,,16,,1,0,1,0,3,,0.78,MOQ-1691,
7,30NW,241-,House 4 Below Floor,MB/RV/LL,24/07/23,,1,1,,,,16,,1,0,1,1,3,,0.21,MOQ-849,x
7,32,55-59,,GDD,14/06/23,,1,2,21.22,17.38,5.3,16,1a,,,1,0,,2,1.95,MOQ-416,x
7,23W,246-284,House 5 Outside,GDD,31/07/23,,1,1,,,,16,,2,0,0,0,0,,0.01,not-pxrfd,
7,23W,246-284,House 5 Outside,GDD,31/07/23,,1,1,,,,16,,2,0,0,0,0,,0.4,MOQ-668,
7,23W,246-284,House 5 Outside,GDD,31/07/23,,1,1,,,,16,,3,0,0,0,0,,0.4,MOQ-669,
7,23W,246-284,House 5 Outside,GDD,31/07/23,,1,2,,,,16,,2,0,0,0,0,,3.62,MOQ-667,x
7,33,70-80,House 2 Outside,GHM,22/06/23,,1,1,,,,16,,3,0,0,1,0,,2.1,MOQ-557,
7,30NE,238-254,House 4 Outside,MB/LL,24/07/23,,1,1,,,,16,,1,0,0,0,4,,0.01,not-pxrfd,
7,30NE,238-254,House 4 Outside,MB/LL,24/07/23,,1,1,,,,16,,2,0,0,0,0,,0.43,MOQ-599,
7,30NE,238-254,House 4 Outside,MB/LL,24/07/23,,1,1,,,,16,,3,0,0,2,0,,0.32,MOQ-600,
7,30NE,238-254,House 4 Outside,MB/LL,24/07/23,,1,1,,,,16,,2,0,0,0,0,1,0.12,MOQ-601,
7,30NE,238-254,House 4 Outside,MB/LL,24/07/23,,1,1,,,,16,,3,0,0,0,0,,0.06,MOQ-602,
7,30NE,238-254,House 4 Outside,MB/LL,24/07/23,,1,1,,,,16,,1,0,0,0,4,,0.06,MOQ-603,
7,24SE,239-255,House 4 Outside,MB/HQB,21/07/23,,1,1,,,,16,,2,0,0,0,0,,0.57,MOQ-387,
7,26,115-125,House 3 Above,GDD,22/06/23,,1,2,,,,16,,2,1,0,0,0,,1.59,MOQ-546,
7,24SE,271-280,House 5 Outside,MB/LL,28/07/23,,1,1,,,,16,,2,1,0,0,0,,0.43,MOQ-701,
7,23SE+29SE,288-313,House 5 Inside Below Floor 3,MB,4/8/2023,,1,1,,,,16,,1,1,2,0,1,1,0.9,MOQ-703,x
7,23SE+29SE,288-313,House 5 Inside Below Floor 3,MB,4/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.22,MOQ-704,
7,23SE+29SE,288-313,House 5 Inside Below Floor 3,MB,4/8/2023,,1,1,,,,16,,2,0,0,0,0,,0.13,MOQ-705,
7,30NE,275-292,House 5 Outside Floor 2,MB,31/07/23,,1,1,,,,16,,3,0,0,0,0,,0.33,MOQ-689,
7,30NE,275-292,House 5 Outside Floor 2,MB,31/07/23,,1,1,,,,16,,2,0,0,0,0,,0.02,not-pxrfd,
7,34N,82-92,House 2 Outside,MB/RP/LL,23/06/23,,1,2,,,,16,,3,0,0,0,0,,0.88,MOQ-694,
7,24SE,239-255,House 4 Outside,HQ/RV/MB,21/07/23,,1,1,,,,16,,2,0,0,0,0,,0.06,MOQ-453,
7,24,255-261,House 1,MB/RR/AF,12/7/2023,,1,1,,,,16,,1,0,1,0,3,,0.33,MOQ-556,
7,24SE,239-255,House 4 Outside,MB/RV,21/07/23,,1,1,,,,16,,3,0,0,0,0,,1.19,MOQ-383,
7,23,243-,House 1,RP/RVQ,7/7/2023,,1,1,,,,16,,1,2,3,0,1,,0.45,MOQ-583,
7,24SE,280-297,House 5 Outside Floor 2,MB,31/07/23,,1,1,,,,16,2,,,1,0,,2,0.9,MOQ-678,
7,24SE,280-297,House 5 Outside Floor 2,MB,31/07/23,,1,2,15.0,11.0,2.8,16,4,,,1,0,,2,0.57,MOQ-679,x
7,33,70-80,House 2 Outside,MB/G,22/06/23,,1,1,,,,16,,1,0,0,0,4,,0.13,MOQ-564,
7,33,70-80,House 2 Outside,MB/G,22/06/23,,1,1,,,,16,,3,0,0,0,0,,0.66,MOQ-565,
7,33,70-80,House 2 Outside,MB/G,22/06/23,,1,2,,,,16,,3,0,0,0,0,,0.84,MOQ-566,
7,33,70-80,House 2 Outside,MB/G,22/06/23,,1,1,,,,16,,2,0,0,0,0,,0.37,MOQ-567,
7,33,70-80,House 2 Outside,MB/G,22/06/23,,1,1,,,,16,,1,0,2,0,3,,0.24,MOQ-568,
7,33,70-80,House 2 Outside,MB/G,22/06/23,,1,1,,,,16,,2,0,0,0,0,,0.15,MOQ-569,
7,33,70-80,House 2 Outside,MB/G,22/06/23,,1,1,,,,16,,1,1,2,0,1,,0.11,not-pxrfd,
7,24SE,239-255,House 4 Outside,MB/RVQ,21/07/23,,1,1,,,,16,,3,0,0,0,0,,0.71,MOQ-475,
7,23E,245-253,House 1 Floor,RV/HQ,21/07/23,,1,1,,,,16,,2,0,0,0,0,2,0.55,MOQ-446,
7,23W,246-284,House 5 Outside,GDD,31/07/23,,1,1,,,,16,,3,0,0,0,0,,0.79,MOQ-695,
7,24,255-261,House 1,MB/RR/AF,12/7/2023,,1,1,17.0,12.0,2.7,16,4,,,1,0,,2,0.77,MOQ-481,x
7,24,255-261,House 1,MB/RR/AF,12/7/2023,,1,1,,,,16,,1,2,3,0,1,,0.34,MOQ-482,
7,24,255-261,House 1,MB/RR/AF,12/7/2023,,1,1,,,,16,,1,2,0,0,2,,1.08,MOQ-483,
7,24,255-261,House 1,MB/RR/AF,12/7/2023,,1,1,,,,16,,2,0,0,0,0,,0.25,MOQ-484,
7,24SE,239-255,House 4 Outside,MB/HQB/R,21/07/23,,1,1,,,,16,,3,0,0,0,0,,0.51,MOQ-400,
7,34N,82-92,House 2 Outside,MB/RP/LL,27/06/23,,1,1,,,,16,,1,0,2,0,3,,0.56,MOQ-683,
7,22,207-217,House 2 Floor,MB/F/LL,23/06/23,,1,2,,,,16,,3,0,0,0,0,,1.19,MOQ-571,
7,24SW+30SW,280-294,House 5 Floor 2,MB,31/07/23,,1,2,,,,16,,3,0,0,0,0,,2.19,MOQ-696,
7,24SW+30SW,280-294,House 5 Floor 2,MB,31/07/23,,1,1,,,,16,,1,0,2,0,3,,0.85,MOQ-697,
7,24SW+30SW,280-294,House 5 Floor 2,MB,31/07/23,,1,1,,,,16,,3,0,0,0,0,,0.61,MOQ-698,
7,24SW+30SW,280-294,House 5 Floor 2,MB,31/07/23,,1,1,,,,16,,1,1,1,0,1,,0.46,MOQ-699,
7,24SW+30SW,280-294,House 5 Floor 2,MB,31/07/23,,1,1,,,,16,,2,0,0,0,0,1,0.05,MOQ-700,
7,24SE,271-280,House 5 Outside Below Floor,MB/LL,28/06/23,,1,2,,,,16,4,,2,2,0,,2,1.44,MOQ-677,x
7,34N,82-92,House 2 Outside,MB/RV/LL,27/06/23,,1,2,,,,16,,1,2,2,0,1,1,1.57,MOQ-693,
7,30,214-219,House 1,AFA,12/7/2023,,1,1,,,,16,,3,0,0,0,0,,0.66,MOQ-543,
7,24SE,239-255,House 4 Outside,RV/MB,21/07/23,,1,1,,,,16,,2,0,0,0,0,,0.03,MOQ-619,
7,23SE+29SE,277-288,House 5 Below Floor 2,MB,31/07/23,,1,1,,,,16,,3,0,0,0,0,,0.35,MOQ-676,
7,24SE,271-280,House 5 Outside,MB/LL,28/07/23,,1,1,,,,16,,1,1,0,0,2,1,0.23,MOQ-692,
7,30NW,239-241,House 4 Ash,HQB,20/07/23,,1,1,,,,16,,3,0,0,0,0,,1.0,MOQ-459,
7,24SE,271-280,House 5 Outside,MB/LL,28/07/23,,1,2,,,,16,,1,2,2,0,1,1,0.86,MOQ-666,
7,24,255-261,House 1,MB/RR/AF,12/7/2023,,1,1,,,,16,,1,0,0,0,4,,0.11,MOQ-528,
7,23,243-,House 1,RP/RVQ,7/7/2023,,1,2,,,,16,4,,,1,0,,2,1.11,MOQ-553,
7,33,70-80,House 2 Outside,GHM,22/06/23,,1,2,,,,16,,2,0,0,0,0,,1.04,MOQ-539,
7,33,70-80,House 2 Outside,GHM,22/06/23,,1,2,,,,16,,2,0,2,0,0,,0.81,MOQ-584,
7,24SW + 30NW,280-310,House 5 Inside Below Floor,MB,3/8/2023,,1,2,18.0,13.0,2.7,16,4,,,1,0,,2,0.9,MOQ-670,x
7,24SW + 30NW,280-310,House 5 Inside Below Floor,MB,3/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.44,MOQ-671,
7,24SW + 30NW,280-310,House 5 Inside Below Floor,MB,3/8/2023,,1,1,,,,16,,1,1,3,0,1,,0.21,MOQ-672,
7,24SW + 30NW,280-310,House 5 Inside Below Floor,MB,3/8/2023,,1,1,,,,16,,2,0,0,0,0,,0.26,MOQ-673,
7,24SW + 30NW,280-310,House 5 Inside Below Floor,MB,3/8/2023,,1,1,,,,16,,1,0,0,0,4,,0.25,MOQ-674,
7,24SW + 30NW,280-310,House 5 Inside Below Floor,MB,3/8/2023,,1,1,,,,16,,1,1,1,0,1,,0.13,MOQ-675,
7,23W,246-284,House 5 Outside,GDD,31/07/23,,1,2,,,,16,,2,0,0,0,0,1,0.83,MOQ-684,
7,23W,246-284,House 5 Outside,GDD,31/07/23,,1,1,,,,16,,3,0,0,0,0,,0.71,MOQ-685,
7,23W,246-284,House 5 Outside,GDD,31/07/23,,1,1,,,,16,,1,0,1,0,3,,0.2,MOQ-686,
7,23W,246-284,House 5 Outside,GDD,31/07/23,,1,1,,,,16,,2,0,0,0,0,,0.24,MOQ-687,
7,34N,82-92,House 2 Outside,MB/RP/LL,27/06/23,,1,1,,,,16,,3,0,0,0,0,1,0.77,MOQ-690,
7,34N,82-92,House 2 Outside,MB/RP/LL,27/06/23,,1,1,,,,16,,3,0,0,0,0,,0.38,MOQ-691,
7,23E,245-253,House 1 Floor,HQB,21/07/23,,1,1,,,,16,,1,1,1,0,1,,0.37,MOQ-452,
7,24SE,271-280,House 5 Outside,MB/LL,28/07/23,,1,1,,,,16,,3,0,0,0,0,,0.43,MOQ-688,
7,23W,246-284,House 5 Outside,GDD,31/07/23,,1,1,,,,16,,1,0,1,0,3,,0.21,MOQ-680,
7,23W,246-284,House 5 Outside,GDD,31/07/23,,1,1,,,,16,,1,0,1,0,3,,0.07,MOQ-681,
8,18,195-199,House 6 Outside,CCO,18/08/23,,1,2,17.25,14.43,4.07,16,3,,1,2,0,,2,1.0,MOQ-1325,x
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,2,0,0,0,0,,0.15,MOQ-1274,
8B,6,117-120,Public Building Wall Fall,HQB,29/08/23,,1,1,,,,16,,3,0,0,0,0,,0.18,not-pxrfd,
8B,6,117-120,Public Building Wall Fall,HQB,29/08/23,,1,1,,,,16,,2,1,0,0,0,,0.14,not-pxrfd,
8B,6,117-120,Public Building Wall Fall,HQB,29/08/23,,1,1,,,,16,,1,2,3,0,1,,0.09,not-pxrfd,
8B,6,117-120,Public Building Wall Fall,HQB,29/08/23,,1,1,,,,16,,1,0,1,0,3,,0.09,not-pxrfd,
8B,6,117-120,Public Building Wall Fall,HQB,29/08/23,,1,1,,,,16,,3,0,0,0,0,,0.23,not-pxrfd,
8B,6,117-120,Public Building Wall Fall,HQB,29/08/23,,1,1,,,,16,,1,0,0,0,4,1,0.26,not-pxrfd,
8B,6,117-120,Public Building Wall Fall,HQB,29/08/23,,1,1,,,,16,,1,0,2,0,3,,0.14,not-pxrfd,
8B,6,117-120,Public Building Wall Fall,HQB,29/08/23,,1,1,,,,16,,2,0,0,0,0,,0.44,not-pxrfd,
8B,6,117-120,Public Building Wall Fall,HQB,29/08/23,,1,2,,,,16,,3,0,0,0,0,,1.0,not-pxrfd,
8B,6,117-120,Public Building Wall Fall,HQB,29/08/23,,1,2,,,,16,,3,0,0,0,0,,0.92,not-pxrfd,
5,2,197-212,Wall Fall,HQB,22/09/22,,1,1,,,,16,,3,0,0,0,0,,0.26,MOQ-069,
5,2,197-212,Wall Fall,HQB,22/09/22,,1,1,,,,16,,2,0,0,0,0,,0.19,MOQ-070,
5,2,197-212,Wall Fall,HQB,22/09/22,,1,1,,,,16,,3,0,0,0,0,,0.32,MOQ-071,
5,2,177-206,Room 2A,HQB,20/09/22,,1,1,,,,16,,3,0,0,0,0,,0.16,MOQ-072,
5,2,177-206,Room 2A,HQB,20/09/22,,1,1,,,,16,,1,2,0,0,2,,0.19,MOQ-073,
5,2,177-206,Room 2A,HQB,20/09/22,,1,1,,,,16,,3,0,0,0,0,,0.37,MOQ-074,
5,2,177-206,Room 2A,HQB,20/09/22,,1,1,,,,16,,1,1,2,0,1,,0.32,MOQ-075,
5,2,177-206,Room 2A,HQB,20/09/22,,1,1,,,,16,,2,0,0,0,0,2,0.45,MOQ-076,
5,2,177-206,Room 2A,HQB,20/09/22,,1,1,,,,16,,1,0,0,0,4,,0.21,MOQ-077,
5,2,177-206,Room 2A,HQB,20/09/22,,1,1,,,,16,,3,0,0,0,0,,0.15,MOQ-078,
5,2,177-206,Room 2A,HQB,20/09/22,,1,1,,,,16,,3,0,0,0,0,,0.15,MOQ-079,
5,2,177-206,Room 2A,HQB,20/09/22,,1,1,,,,16,,2,0,0,0,0,,0.56,MOQ-080,
5,2,177-206,Room 2A,HQB,20/09/22,,1,1,,,,16,,2,0,0,0,0,,0.19,MOQ-081,
5,2,177-206,Room 2A,HQB,20/09/22,,1,1,,,,16,,1,0,1,0,3,,0.01,not-pxrfd,
5,2,177-206,Room 2A,HQB,20/09/22,,1,1,,,,16,,1,0,0,0,4,,0.02,not-pxrfd,
5,3,143-161,House 3N Inside,HQB,14/09/22,,1,1,,,,16,,3,0,0,0,0,,0.21,MOQ-003,
5,1,167-168,House 1S Inside,HQB,19/09/22,,1,1,,,,16,,3,0,0,0,0,,0.28,MOQ-115,x
5,1,167-168,House 1S Inside,HQB,19/09/22,,1,1,,,,16,,2,0,0,0,0,,0.43,MOQ-116,
5,1,167-168,House 1S Inside,HQB,19/09/22,,1,1,,,,16,,1,1,1,0,1,2,0.58,MOQ-117,x
5,1,168-169,House 1S Inside,HQB,13/09/22,,1,1,,,,16,,2,0,0,0,0,,0.27,MOQ-005,
5,3,143-161,House 3N Inside,HQB,14/09/22,,1,2,,,,16,,3,0,0,0,0,,0.92,MOQ-125,
