Unidad,Cuad,Nivel,Rasgo,Excavador,Fecha,Context,N frag.,Tamaño frag.,Length,Width,Thickness,Material,Technological Type,Debris,Platform Type,Termination,% Cortex,Portion,Modification,Weight,Notes,Foto,House_Num,Location_Type,Context_Type,Debris_Label
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,1,2,2,0,1,,0.28,MOQ-1353,,House 7,Unspecified (House),Domestic,Proximal flake
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,1,1,0,0,2,,0.23,MOQ-1354,,House 7,Unspecified (House),Domestic,Proximal flake
8,17,127-144,House 7,CCO,17/08/23,,1,1,,,,16,,1,0,1,0,3,,0.03,MOQ-1355,,House 7,Unspecified (House),Domestic,Proximal flake
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,0,2,0,3,,0.09,MOQ-1291,,,Unknown,No Context,Proximal flake
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,0,0,0,4,,0.06,MOQ-1292,,,Unknown,No Context,Proximal flake
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,3,0,0,2,,0.27,MOQ-1293,,,Unknown,No Context,Proximal flake
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,1,0,0,2,,0.09,MOQ-1294,,,Unknown,No Context,Proximal flake
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,3,0,0,0,0,,0.15,MOQ-1295,,,Unknown,No Context,Angular debris
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,0,2,0,3,,0.1,MOQ-1296,,,Unknown,No Context,Proximal flake
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,1,0,0,2,,0.12,MOQ-1297,,,Unknown,No Context,Proximal flake
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,0,2,0,3,,0.08,MOQ-1298,,,Unknown,No Context,Proximal flake
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,1,2,0,1,,0.12,MOQ-1299,,,Unknown,No Context,Proximal flake
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,3,0,0,0,0,,0.23,MOQ-1300,,,Unknown,No Context,Angular debris
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,3,0,0,0,0,,0.81,MOQ-1301,,,Unknown,No Context,Angular debris
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,3,0,0,0,0,,0.29,MOQ-1302,,,Unknown,No Context,Angular debris
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,0,2,0,3,,0.12,MOQ-1303,,,Unknown,No Context,Proximal flake
8,23,?-169,,JQ,15/08/23,,1,2,,,,16,4,,,1,0,,2,1.06,MOQ-1304,x,,Unknown,No Context,Missing
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,3,0,0,0,0,,0.38,MOQ-1305,,,Unknown,No Context,Angular debris
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,3,0,0,0,0,,0.3,MOQ-1306,,,Unknown,No Context,Angular debris
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,2,0,1,0,3,,0.62,MOQ-1307,,,Unknown,No Context,Flake shatter
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,1,1?,0,1,1,0.65,MOQ-1308,x,,Unknown,No Context,Proximal flake
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,2,0,3,0,3,,0.5,MOQ-1309,,,Unknown,No Context,Flake shatter
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,0,1,0,3,,0.19,MOQ-1310,,,Unknown,No Context,Proximal flake
8,23,?-169,,JQ,15/08/23,,3,1,,,,16,,2,0,0,0,0,,0.03,not-pxrfd,,,Unknown,No Context,Flake shatter
